,name,company,year,Price,kms_driven,fuel_type
238,Honda,Honda,1994,45000000,30000,Bensin
239,KIA Picanto M/T,KIA,2008,63000000,230000,Bensin
240,Mitsubishi Mirage GLX,Mitsubishi,2013,88000000,100000,Bensin
241,Lexus RX 200T,Lexus,2016,895000000,40000,Bensin
242,Ford Everest LTD,Ford,2008,130000000,80000,Diesel
243,Nissan Grand livina,Nissan,2014,108000000,110000,Bensin
244,Ford Ecosport Titanium,Ford,2014,122000000,95000,Bensin
245,Hyundai Santa Fe,Hyundai,2016,365000000,30000,Diesel
246,Nissan Grand livina,Nissan,2009,73900000,80000,Bensin
247,Proton Exora CFE,Proton,2014,79000000,65000,Bensin
248,Audi Audi A8,Audi,2004,115850000,85000,Bensin
249,Mercedes-Benz E-Class E240,Mercedes-Benz,2003,114500000,105000,Bensin
250,Toyota Agya G,Toyota,2016,102000000,60000,Bensin
251,Mercedes-Benz E-Class E320,Mercedes-Benz,1996,69000000,12500,Bensin
252,Nissan Grand livina,Nissan,2010,78500000,75000,Bensin
253,Mazda CX-5 Touring,Mazda,2015,289000000,40000,Bensin
254,BMW X1 sDrive20d,BMW,2012,235000000,95000,Diesel
255,Chevrolet Spin LTZ,Chevrolet,2014,102000000,120000,Bensin
256,KIA Picanto SE,KIA,2011,65500000,85000,Bensin
257,Klasik dan Antik,Klasik dan Antik,1986,135000000,210000,Bensin
258,Honda Freed E,Honda,2016,285000000,35000,Bensin
259,Suzuki SX4,Suzuki,2009,110000000,130000,Bensin
260,Datsun Go+ Panca,Datsun,2014,65000000,35000,Bensin
261,Daihatsu Gran max,Daihatsu,2018,105000000,25000,Bensin
262,Datsun Go+ Panca,Datsun,2017,88000000,10000,Bensin
263,Lain-lain,Lain-lain,2002,40000000,25000,Bensin
264,BMW X1 sDrive18i,BMW,2010,215000000,55000,Bensin
265,Ford Ecosport Titanium,Ford,2014,125000000,100000,Bensin
266,Peugeot 406,Peugeot,1997,27500000,255000,Bensin
267,Mercedes-Benz C-Class C240,Mercedes-Benz,2005,135000000,65000,Bensin
268,Mercedes-Benz GLA-Class GLA200,Mercedes-Benz,2015,480000000,35000,Bensin
269,Daihatsu Sigra 1.2,Daihatsu,2018,120000000,25000,Bensin
270,Mitsubishi Strada Triton,Mitsubishi,2012,151000000,85000,Diesel
271,Daihatsu Sigra,Daihatsu,2019,114100000,5000,Bensin
272,Holden Gemini,Holden,1986,15000000,10000,Bensin
273,Daihatsu Espass,Daihatsu,1996,29000000,135000,Bensin
274,Ford Ranger XLT,Ford,2011,145000000,15000,Bensin
275,Suzuki Splash GL,Suzuki,2011,82000000,65000,Bensin
276,Mazda 2 R,Mazda,2015,205000000,45000,Bensin
277,Chevrolet Spark LT,Chevrolet,2017,150000000,35000,Bensin
278,Chevrolet Captiva,Chevrolet,2014,195000000,75000,Diesel
279,Ford Fiesta Trend,Ford,2011,85000000,95000,Bensin
280,Suzuki Carry Pick-up,Suzuki,2019,115000000,5000,Bensin
281,Mitsubishi Lancer,Mitsubishi,1987,18000000,15000,Bensin
282,KIA Rio Hatchback,KIA,2013,115000000,85000,Bensin
283,BMW X1 sDrive18i,BMW,2016,499000000,15000,Bensin
284,Mazda RX-8 Sport,Mazda,2004,185000000,40000,Bensin
285,BMW Serie 3,BMW,2003,195000000,85000,Bensin
286,Hyundai New Tucson,Hyundai,2017,313000000,45000,Diesel
287,Wuling Confero S,Wuling,2018,112000000,15000,Bensin
288,Peugeot 406 Limited,Peugeot,2004,45000000,155000,Bensin
289,Mercedes-Benz GLA-Class GLA200,Mercedes-Benz,2015,525000001,10000,Bensin
290,Toyota Innova V,Toyota,2016,335000000,55000,Diesel
291,Mitsubishi Pajero Sport,Mitsubishi,2014,300000000,85000,Diesel
292,Mazda Biante 2.0,Mazda,2014,205000000,55000,Bensin
293,Chevrolet Captiva,Chevrolet,2011,159000000,130000,Diesel
294,Datsun Go Panca,Datsun,2017,58000000,75000,Bensin
295,Audi Audi A4,Audi,1998,47250000,80000,Bensin
296,Nissan Livina,Nissan,2010,68000000,145000,Bensin
297,Chevrolet Captiva,Chevrolet,2010,85000000,12500,Bensin
298,Isuzu Panther LM,Isuzu,2006,85000000,12500,Diesel
299,Datsun Go Panca,Datsun,2016,59000000,65000,Bensin
300,Hummer H2 V8,Hummer,2010,2200000000,35000,Bensin
301,Honda CR-V 2.4,Honda,2010,145000000,150000,Bensin
302,Daihatsu Xenia Li,Daihatsu,2004,64550000,170000,Bensin
303,Toyota Avanza G,Toyota,2013,115000000,65000,Bensin
304,Mazda 2 R,Mazda,2012,110000000,55000,Bensin
305,Mazda 2 GT,Mazda,2014,168000000,60000,Bensin
306,Toyota Starlet,Toyota,1990,27000000,150000,Bensin
307,Isuzu New Panther,Isuzu,2014,147000000,95000,Diesel
308,Chevrolet Optra,Chevrolet,2010,57500000,100000,Bensin
309,Hyundai Excel,Hyundai,2013,89500000,95000,Bensin
310,Mitsubishi Pajero Sport,Mitsubishi,2010,110000000,130000,Diesel
311,BMW M Series,BMW,1990,888000000,75000,Bensin
312,Nissan X-Trail,Nissan,2011,139000000,105000,Bensin
313,Isuzu,Isuzu,2018,235000000,35000,Diesel
314,Mitsubishi Pajero Sport,Mitsubishi,2016,525000000,35000,Diesel
315,Daihatsu Ayla X,Daihatsu,2017,98000000,25000,Bensin
316,Isuzu Elf Minibus,Isuzu,2015,210000000,130000,Diesel
317,Mitsubishi Pajero,Mitsubishi,2014,276000000,65000,Diesel
318,Daihatsu Gran max,Daihatsu,2018,108000000,45000,Bensin
319,Mini Cooper Mini,Mini Cooper,2015,545000000,35000,Bensin
320,Daihatsu Ayla X,Daihatsu,2017,90000000,25000,Bensin
321,Isuzu Elf Minibus,Isuzu,2013,135000000,12500,Diesel
322,Daihatsu Terios,Daihatsu,2019,190000000,5000,Bensin
323,KIA Picanto M/T,KIA,2009,40000000,40000,Bensin
324,Mercedes-Benz A-Class A140,Mercedes-Benz,2001,39000000,35000,Bensin
325,Chevrolet Spin,Chevrolet,2015,119000000,50000,Bensin
326,Hyundai Trajet GL8,Hyundai,2003,53000000,155000,Bensin
327,Toyota Avanza G,Toyota,2008,99500000,105000,Bensin
328,Daihatsu Zebra,Daihatsu,1998,40000000,30000,Bensin
329,Suzuki Ertiga GX,Suzuki,2013,137000000,80000,Bensin
330,Nissan Grand livina,Nissan,2013,117000000,70000,Bensin
331,Mazda 2 S,Mazda,2010,84000000,105000,Bensin
332,BMW Serie 5,BMW,2013,365000000,20000,Bensin
333,Chevrolet Aveo LT,Chevrolet,2012,85000000,40000,Bensin
334,KIA Sportage EX,KIA,2012,131000000,75000,Bensin
335,Toyota Avanza G,Toyota,2014,126000000,290000,Bensin
336,Honda Mobilio E,Honda,2014,130000000,85000,Bensin
337,Honda Brio E,Honda,2013,99000000,35000,Bensin
338,Hyundai H-1 X,Hyundai,2012,160000000,60000,Diesel
339,Daihatsu Xenia X,Daihatsu,2013,116000000,80000,Bensin
340,Isuzu Grand touring,Isuzu,2011,180000000,100000,Diesel
341,Ford Everest,Ford,2003,88000000,15000,Diesel
342,Daihatsu Taruna CSX,Daihatsu,2000,61000000,5000,Bensin
343,Mini Cooper Mini,Mini Cooper,2014,605000000,10000,Bensin
344,Toyota Rush TRD,Toyota,2018,205000000,10000,Bensin
345,Mitsubishi Pajero Sport,Mitsubishi,2011,270000000,80000,Diesel
346,Mazda 6,Mazda,2018,485000000,10000,Bensin
347,Hyundai Avega GX,Hyundai,2010,55000000,70000,Bensin
348,Volkswagen Beetle,Volkswagen,2009,450000000,30000,Bensin
349,Toyota Soluna Gli,Toyota,2000,40000000,10000,Bensin
350,Mercedes-Benz E-Class E300,Mercedes-Benz,2009,305000000,95000,Bensin
351,Renault Megane,Renault,2005,79000000,115000,Bensin
352,Suzuki APV GX,Suzuki,2008,65000000,295000,Bensin
353,Timor DOHC,Timor,1997,20000000,35000,Bensin
354,Mazda Biante 2.0,Mazda,2013,184000000,40000,Bensin
355,Wuling Confero S,Wuling,2017,130000000,45000,Bensin
356,Nissan Latio,Nissan,2008,80500000,115000,Bensin
357,KIA Picanto SE,KIA,2013,85000000,65000,Bensin
358,Mercedes-Benz C-Class C250,Mercedes-Benz,2013,440000000,30000,Bensin
359,Mitsubishi Pajero NA,Mitsubishi,2000,155000000,105000,Bensin
360,Hyundai H-1,Hyundai,2012,145000000,12500,Bensin
361,KIA Sportage LX,KIA,2005,57000000,105000,Bensin
362,Toyota Corolla Altis,Toyota,2016,220000000,50000,Bensin
363,Isuzu Panther LM,Isuzu,2008,100000000,80000,Diesel
364,Honda HR-V S,Honda,2017,245000000,10000,Bensin
365,Nissan X-Trail,Nissan,2015,300000000,40000,Bensin
366,Isuzu,Isuzu,2016,625000000,100000,Diesel
367,Nissan Grand livina,Nissan,2008,72000000,130000,Bensin
368,Ford Focus Sport,Ford,2014,185000000,90000,Bensin
369,Mazda CX-5 Elite,Mazda,2018,485000000,20000,Bensin
370,Mazda 2 GT,Mazda,2014,168000000,60000,Bensin
371,KIA Visto,KIA,2000,41000000,150000,Bensin
372,Nissan Elgrand HWS,Nissan,2012,300000000,60000,Bensin
373,Ford Escape Limited,Ford,2010,117500000,130000,Bensin
374,KIA Picanto SE,KIA,2013,80000000,45000,Bensin
375,Isuzu,Isuzu,2016,625000000,100000,Diesel
376,Suzuki Karimun DX,Suzuki,2018,80000000,20000,Bensin
377,BMW,BMW,2017,570000000,25000,Bensin
378,BMW Serie 3,BMW,2014,383000000,50000,Bensin
379,Jeep Rubicon,Jeep,2015,1100000000,20000,Bensin
380,Toyota Starlet,Toyota,1991,40000000,235000,Bensin
381,Chrysler 300 300C,Chrysler,2013,380000000,40000,Bensin
382,BMW X1 sDrive18i,BMW,2018,650000000,5000,Bensin
383,Toyota Calya G,Toyota,2017,125000000,20000,Bensin
384,Daihatsu Xenia R,Daihatsu,2013,112000000,105000,Bensin
385,Honda Freed S,Honda,2012,129000000,65000,Bensin
386,Ford Fiesta EcoBoost,Ford,2014,135000000,55000,Bensin
387,Mazda Biante,Mazda,2013,169000000,80000,Bensin
388,BMW Serie 5,BMW,2010,335000000,90000,Bensin
389,KIA,KIA,2010,63000000,120000,Bensin
390,Volkswagen Safari 1.6,Volkswagen,1986,50000000,25000,Bensin
391,Ford,Ford,2004,75000000,25000,Diesel
392,Ford Ecosport Titanium,Ford,2014,135000000,80000,Bensin
393,BMW Serie 5,BMW,2012,330000000,45000,Bensin
394,Daihatsu Sigra,Daihatsu,2019,111000000,5000,Bensin
395,Mercedes-Benz CLA-Class CLA200,Mercedes-Benz,2017,695000000,15000,Bensin
396,Isuzu,Isuzu,2013,132000000,55000,Diesel
397,Ford laser,Ford,1993,32000000,50000,Bensin
398,Ford Everest,Ford,2007,120000000,295000,Diesel
399,Suzuki APV,Suzuki,2004,55000000,205000,Bensin
400,Mercedes-Benz C-Class C200,Mercedes-Benz,2011,209950000,65000,Bensin
401,Mazda 2 R,Mazda,2012,99000000,75000,Bensin
402,Ford Fiesta Trend,Ford,2012,88500000,10000,Bensin
403,Proton Saga,Proton,2009,50000000,55000,Bensin
404,Nissan Livina,Nissan,2013,95000000,120000,Bensin
405,Nissan Grand livina,Nissan,2016,132000000,50000,Bensin
406,Nissan X-Trail,Nissan,2018,348000000,10000,Bensin
407,Smart Fortwo 1.0,Smart,2010,185000000,20000,Bensin
408,Mazda Familia,Mazda,1997,42000000,295000,Bensin
409,Daihatsu Xenia Xi,Daihatsu,2010,74000000,40000,Bensin
410,Daihatsu Xenia R,Daihatsu,2012,117000000,55000,Bensin
411,BMW Serie 3,BMW,2002,90000000,20000,Bensin
412,Mercedes-Benz S-Class S350,Mercedes-Benz,2009,390000000,55000,Bensin
413,KIA Picanto,KIA,2010,77000000,95000,Bensin
