name,company,year,Price,kms_driven,fuel_type
Daihatsu Xenia M 1.0 Sporty,Daihatsu,2012,105000000,25000,Bensin
Daihatsu Terios Adventure R,Daihatsu,2016,153000000,65000,Bensin
Mitsubishi Pajero Sport Dakar 2.4,Mitsubishi,2017,445000000,35000,Diesel
Ford Fiesta Trend,Ford,2014,125000000,20000,Bensin
Mitsubishi Pajero Sport Dakar,Mitsubishi,2014,305000000,35000,Diesel
Porsche Boxster S,Porsche,2014,1400000000,10000,Bensin
Honda CR-V ,Honda,2017,415000000,50000,Bensin
Suzuki Splash ,Suzuki,2011,75000000,80000,Bensin
Isuzu Panther Touring,Isuzu,2005,125000000,205000,Diesel
Hyundai H-1 ,Hyundai,2011,130000000,105000,Bensin
Ford Fiesta Sport,Ford,2011,109000000,150000,Bensin
KIA Carens II ,KIA,2005,56000000,25000,Bensin
Porsche Boxster S,Porsche,2016,1900000000,15000,Bensin
Toyota Kijang LGX,Toyota,2002,79000000,100000,Bensin
Jeep Grand Cherokee Limited,Jeep,2015,1150000000,5000,Bensin
Toyota Corolla ,Toyota,1986,25000000,5000,Bensin
Toyota Fortuner G Luxury,Toyota,2010,203000000,45000,Bensin
Isuzu Elf Minibus ,Isuzu,2001,65000000,195000,Diesel
Land Rover Range Rover Evoque Dynamic Luxury Si4,Land Rover,2012,575000000,40000,Bensin
Bentley Continental GT Convertible,Bentley,2012,3250000000,25000,Bensin
Ford Fiesta EcoBoost S,Ford,2012,105000000,65000,Bensin
Mazda Biante ,Mazda,2016,235000000,60000,Bensin
Mazda 2 R,Mazda,2010,90000000,100000,Bensin
Datsun Go+ Panca T,Datsun,2017,79000000,45000,Bensin
Holden ,Holden,1986,150000000,75000,Bensin
Jeep Grand Cherokee Overland,Jeep,2011,395000000,60000,Bensin
Volvo S90 ,Volvo,2000,29000000,115000,Bensin
Honda ,Honda,1994,45000000,30000,Bensin
KIA Picanto M/T,KIA,2008,63000000,230000,Bensin
Mitsubishi Mirage GLX,Mitsubishi,2013,88000000,100000,Bensin
Lexus RX 200T AL20,Lexus,2016,895000000,40000,Bensin
Ford Everest LTD,Ford,2008,130000000,80000,Diesel
Nissan Grand livina ,Nissan,2014,108000000,110000,Bensin
Ford Ecosport Titanium,Ford,2014,122000000,95000,Bensin
Hyundai Santa Fe ,Hyundai,2016,365000000,30000,Diesel
Nissan Grand livina ,Nissan,2009,73900000,80000,Bensin
Proton Exora CFE Prime,Proton,2014,79000000,65000,Bensin
Audi Audi A8 ,Audi,2004,115850000,85000,Bensin
Mercedes-Benz E-Class E240,Mercedes-Benz,2003,114500000,105000,Bensin
Toyota Agya G,Toyota,2016,102000000,60000,Bensin
Mercedes-Benz E-Class E320,Mercedes-Benz,1996,69000000,12500,Bensin
Nissan Grand livina ,Nissan,2010,78500000,75000,Bensin
Mazda CX-5 Touring,Mazda,2015,289000000,40000,Bensin
BMW X1 sDrive20d,BMW,2012,235000000,95000,Diesel
Chevrolet Spin LTZ,Chevrolet,2014,102000000,120000,Bensin
KIA Picanto SE,KIA,2011,65500000,85000,Bensin
Klasik dan Antik Klasik dan Antik ,Klasik dan Antik,1986,135000000,210000,Bensin
Honda Freed E,Honda,2016,285000000,35000,Bensin
Suzuki SX4 ,Suzuki,2009,110000000,130000,Bensin
Datsun Go+ Panca T Opt,Datsun,2014,65000000,35000,Bensin
Daihatsu Gran max Pick-up ,Daihatsu,2018,105000000,25000,Bensin
Datsun Go+ Panca T Ultimate,Datsun,2017,88000000,10000,Bensin
Lain-lain ,Lain-lain,2002,40000000,25000,Bensin
BMW X1 sDrive18i,BMW,2010,215000000,55000,Bensin
Ford Ecosport Titanium,Ford,2014,125000000,100000,Bensin
Peugeot 406 ,Peugeot,1997,27500000,255000,Bensin
Mercedes-Benz C-Class C240,Mercedes-Benz,2005,135000000,65000,Bensin
Mercedes-Benz GLA-Class GLA200,Mercedes-Benz,2015,480000000,35000,Bensin
Daihatsu Sigra 1.2 R,Daihatsu,2018,120000000,25000,Bensin
Mitsubishi Strada Triton GLS,Mitsubishi,2012,151000000,85000,Diesel
Daihatsu Sigra ,Daihatsu,2019,114100000,5000,Bensin
Holden Gemini ,Holden,1986,15000000,10000,Bensin
Daihatsu Espass ,Daihatsu,1996,29000000,135000,Bensin
Ford Ranger XLT,Ford,2011,145000000,15000,Bensin
Suzuki Splash GL,Suzuki,2011,82000000,65000,Bensin
Mazda 2 R,Mazda,2015,205000000,45000,Bensin
Chevrolet Spark LT,Chevrolet,2017,150000000,35000,Bensin
Chevrolet Captiva ,Chevrolet,2014,195000000,75000,Diesel
Ford Fiesta Trend,Ford,2011,85000000,95000,Bensin
Suzuki Carry Pick-up ,Suzuki,2019,115000000,5000,Bensin
Mitsubishi Lancer ,Mitsubishi,1987,18000000,15000,Bensin
KIA Rio Hatchback,KIA,2013,115000000,85000,Bensin
BMW X1 sDrive18i xLine,BMW,2016,499000000,15000,Bensin
Mazda RX-8 Sport,Mazda,2004,185000000,40000,Bensin
BMW Serie 3 330i,BMW,2003,195000000,85000,Bensin
Hyundai New Tucson ,Hyundai,2017,313000000,45000,Diesel
Wuling Confero S S 1.5C LUX,Wuling,2018,112000000,15000,Bensin
Peugeot 406 Limited,Peugeot,2004,45000000,155000,Bensin
Mercedes-Benz GLA-Class GLA200,Mercedes-Benz,2015,525000001,10000,Bensin
Toyota Innova V Diesel,Toyota,2016,335000000,55000,Diesel
Mitsubishi Pajero Sport Dakar 2.4,Mitsubishi,2014,300000000,85000,Diesel
Mazda Biante 2.0 SKYACTIV,Mazda,2014,205000000,55000,Bensin
Chevrolet Captiva ,Chevrolet,2011,159000000,130000,Diesel
Datsun Go Panca T,Datsun,2017,58000000,75000,Bensin
Audi Audi A4 ,Audi,1998,47250000,80000,Bensin
Nissan Livina ,Nissan,2010,68000000,145000,Bensin
Chevrolet Captiva ,Chevrolet,2010,85000000,12500,Bensin
Isuzu Panther LM,Isuzu,2006,85000000,12500,Diesel
Datsun Go Panca T,Datsun,2016,59000000,65000,Bensin
Hummer H2 V8 6.0,Hummer,2010,2200000000,35000,Bensin
Honda CR-V 2.4 i-VTEC,Honda,2010,145000000,150000,Bensin
Daihatsu Xenia Li,Daihatsu,2004,64550000,170000,Bensin
Toyota Avanza G,Toyota,2013,115000000,65000,Bensin
